"ACCOUNT_KEY","TYPE","LOCATION","PAYMENT"
9000150994,"Customer","Germany -> Central Europe -> East",161
9000011995,"Customer","Germany -> Central Europe -> East",161
9000099054,"Customer","France -> France International -> West",345
9000074017,"Customer","Lithuania -> Eastern Europe -> East",57.5
9000197550,"Customer","Italy -> South East Europe -> South",57.5
9000162313,"Customer","Italy -> South East Europe -> South",345
9000024294,"Customer","Moldavia -> Eastern Europe -> East",57.5
9000055084,"Customer","Netherlands -> Netherlands -> North",322
9000020831,"Customer","France -> France International -> West",345
9000079313,"Customer","Italy -> South East Europe -> South",345
9000043062,"Customer","Czech Republic -> Eastern Europe -> East",241.5
9000013676,"Customer","Luxembourg -> BeLux -> North",115
9000209802,"Customer","Germany -> Central Europe -> East",161
9000106148,"Customer","Germany -> Central Europe -> East",57.5
9000089019,"Customer","Germany -> Central Europe -> East",161
9000032733,"Customer","Poland -> Eastern Europe -> East",57.5
9000020435,"Customer","France -> France International -> West",345
9000073385,"Customer","Poland -> Eastern Europe -> East",241.5
9000132049,"Customer","United Kingdom -> Great Britain -> North",57.5
9000114515,"Customer","Poland -> Eastern Europe -> East",241.5
9000096299,"Customer","Austria -> Central Europe -> East",57.5
9000035414,"Customer","Hungary -> Eastern Europe -> East",241.5
9000140721,"Customer","France -> France International -> West",57.5
9000022792,"Customer","Belgium -> BeLux -> North",345
9000085720,"Customer","Germany -> Central Europe -> East",161
9000095108,"Customer","France -> France International -> West",345
9000062548,"Customer","Germany -> Central Europe -> East",161
9000005968,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000104535,"Customer","France -> France International -> West",517.5
9000141256,"Customer","Romania -> Eastern Europe -> East",241.5
9000163412,"Customer","France -> France International -> West",57.5
9000091594,"Customer","Germany -> Central Europe -> East",161
9000149202,"Customer","France -> France International -> West",517.5
9000136905,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000059113,"Customer","Netherlands -> Netherlands -> North",322
9000192203,"Customer","France -> France International -> West",517.5
9000136710,"Customer","Poland -> Eastern Europe -> East",241.5
9000117241,"Customer","Italy -> South East Europe -> South",345
9000031186,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000134594,"Customer","Italy -> South East Europe -> South",345
9000086817,"Customer","Macedonia -> Eastern Europe -> East",57.5
9000217562,"Customer","Romania -> Eastern Europe -> East",57.5
9000175724,"Customer","Hungary -> Eastern Europe -> East",241.5
9000082674,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000165054,"Customer","Italy -> South East Europe -> South",345
9000098909,"Customer","Germany -> Central Europe -> East",161
9000210053,"Customer","Italy -> South East Europe -> South",57.5
9000018715,"Customer","Macedonia -> Eastern Europe -> East",57.5
9000127541,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000043811,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000112740,"Customer","Macedonia -> Eastern Europe -> East",57.5
9000100933,"Customer","Belgium -> BeLux -> North",115
9000210863,"Customer","Romania -> Eastern Europe -> East",241.5
9000007392,"Customer","France -> France International -> West",517.5
9000073015,"Customer","Portugal -> Teleroute Iberica -> South",57.5
9000114024,"Customer","Italy -> South East Europe -> South",57.5
9000209680,"Customer","France -> France International -> West",517.5
9000205438,"Customer","France -> France International -> West",517.5
9000125197,"Customer","France -> France International -> West",517.5
9000140574,"Customer","Austria -> Central Europe -> East",161
9000042046,"Customer","Greece -> South East Europe -> South",57.5
9000120587,"Customer","Netherlands -> Netherlands -> North",57.5
9000136192,"Customer","Ireland -> Great Britain -> North",57.5
9000110025,"Customer","France -> France International -> West",57.5
9000090640,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000008466,"Customer","France -> France International -> West",345
9000216862,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000018218,"Customer","United Kingdom -> Great Britain -> North",57.5
9000199267,"Customer","Belgium -> BeLux -> North",115
9000038093,"Customer","Italy -> South East Europe -> South",57.5
9000181564,"Customer","Italy -> South East Europe -> South",161
9000046694,"Customer","Poland -> Eastern Europe -> East",241.5
9000090237,"Customer","France -> France International -> West",345
9000034682,"Customer","Poland -> Eastern Europe -> East",57.5
9000009060,"Customer","Croatia -> Eastern Europe -> East",241.5
9000056556,"TLR internal","United Kingdom -> Great Britain -> North",57.5
9000194884,"Customer","Germany -> Central Europe -> East",161
9000003669,"Customer","France -> France International -> West",345
9000131403,"Customer","Poland -> Eastern Europe -> East",241.5
9000176803,"Customer","",57.5
9000103769,"Customer","France -> France International -> West",345
9000026518,"Customer","Netherlands -> Netherlands -> North",322
9000078289,"Customer","Poland -> Eastern Europe -> East",57.5
9000182977,"Customer","Germany -> Central Europe -> East",161
9000170036,"Customer","Austria -> Central Europe -> East",161
9000085326,"Customer","Belgium -> BeLux -> North",115
9000210142,"Customer","France -> France International -> West",517.5
